alpha,seed,cell,eval_pct,loss,syncs,avg_sync_ms,total_s,idle_s,gpu0_pct,gpu1_pct,gpu2_pct,g0_peak_mb,g0_mean_mb,g1_peak_mb,g1_mean_mb,g2_peak_mb,g2_mean_mb
0.5,1,seed-1-cpu-async-msf,93.04,0.016327,359,232.2,4856.6,10.5,100,100,100,514,513,580,576,574,571
0.5,2,seed-2-cpu-async-msf,93.21000000000001,0.01512,459,222.7,4925.7,7.3,100,100,100,514,513,580,576,574,569
0.5,3,seed-3-cpu-async-msf,92.97,0.011964,587,217.1,5002.2,6.5,100,100,100,514,513,582,580,576,567
0.5,4,seed-4-cpu-async-msf,93.03,0.015464,409,234.8,5061.7,8.1,100,100,100,514,513,588,586,576,572
1.0,1,seed-1-cpu-async-msf-alpha10,92.88,0.01559,286,254.9,5095.8,7.6,100,100,100,514,513,578,574,572,569
