cell,seed,mode,guard,rank,gpu_label,share_mean,share_std,tput_mean,tput_std,gpu_util_mean,vram_alloc_peak_mb
seed-0-nccl-async-trend,0,nccl-async,trend,1,GTX 1060 (#1),0.3065,0.0065,3.4496,1.0416,54.5246,396.0000
seed-0-nccl-async-trend,0,nccl-async,trend,2,GTX 1060 (#2),0.2968,0.0080,3.3810,1.0070,57.1641,386.0000
seed-1-nccl-async-trend,1,nccl-async,trend,0,RTX 5060 Ti,0.3990,0.0088,2.7064,0.6627,21.1666,356.0000
seed-1-nccl-async-trend,1,nccl-async,trend,1,GTX 1060 (#1),0.3054,0.0064,3.5124,1.0685,56.6453,390.0000
seed-1-nccl-async-trend,1,nccl-async,trend,2,GTX 1060 (#2),0.2956,0.0066,3.5011,1.0960,59.1675,384.0000
seed-2-nccl-async-trend,2,nccl-async,trend,0,RTX 5060 Ti,0.3989,0.0109,2.4693,0.5975,21.0325,356.0000
seed-2-nccl-async-trend,2,nccl-async,trend,1,GTX 1060 (#1),0.3044,0.0070,3.2108,1.0731,56.4548,398.0000
seed-2-nccl-async-trend,2,nccl-async,trend,2,GTX 1060 (#2),0.2967,0.0095,3.3329,1.0914,58.9897,390.0000
seed-3-nccl-async-trend,3,nccl-async,trend,0,RTX 5060 Ti,0.4008,0.0150,2.5062,0.6150,21.2382,356.0000
seed-3-nccl-async-trend,3,nccl-async,trend,1,GTX 1060 (#1),0.3062,0.0110,3.3396,1.0864,56.9241,400.0000
seed-3-nccl-async-trend,3,nccl-async,trend,2,GTX 1060 (#2),0.2930,0.0094,3.2317,0.9937,58.9344,402.0000
seed-4-nccl-async-trend,4,nccl-async,trend,0,RTX 5060 Ti,0.4011,0.0117,2.4414,0.5589,21.1870,356.0000
seed-4-nccl-async-trend,4,nccl-async,trend,1,GTX 1060 (#1),0.3034,0.0069,3.1722,0.9984,55.7507,388.0000
seed-4-nccl-async-trend,4,nccl-async,trend,2,GTX 1060 (#2),0.2955,0.0083,3.2387,0.9775,58.7296,384.0000
