elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,4184608768,26256531456,7,0,1299644416,17102733312,0,0,988676096,6442319872
374,7.6,4424122368,26256531456,6,73400320,1406599168,17102733312,8,0,988676096,6442319872
477,7.9,4492795904,26256531456,6,73400320,1406599168,17102733312,8,0,988676096,6442319872
581,9.7,4589305856,26256531456,6,73400320,1406599168,17102733312,0,0,988676096,6442319872
689,10.3,4699340800,26256531456,5,127926272,1469513728,17102733312,0,0,988676096,6442319872
792,22.8,4703727616,26256531456,5,148897792,1490485248,17102733312,0,0,988676096,6442319872
895,20.1,4703727616,26256531456,75,148897792,1490485248,17102733312,0,0,988676096,6442319872
998,26.6,4703727616,26256531456,75,148897792,1490485248,17102733312,0,0,988676096,6442319872
1101,20.2,4703727616,26256531456,75,148897792,1490485248,17102733312,0,0,988676096,6442319872
